ano,semestre,numero_questao,texto,principal,secundarias,pagina
2018,sem1,Questão 04,"Questão 04
Assinale a alternativa que apresenta um exemplo de
mistura homogênea.
(A) água + gasolina
(B) água + óleo de cozinha
(C) gás nitrogênio + gás hélio
(D) ar atmosférico + fuligem
(E) areia + sal de cozinha",Substâncias e misturas,Nenhum,2
2018,sem1,Questão 05,"Questão 05 Um procedimento que permite separar, sem o uso de
qualquer fonte de calor, uma mistura de água e óleo de
cozinha é a
(A) decantação.
(B) sublimação.
(C) peneiração.
(D) destilação.
(E) filtração.",Separação de misturas,Nenhum,2
2018,sem1,Questão 06,"Questão 06 Brasília foi inaugurada em 1960, poucos anos depois do
início de sua construção. Planejada por Lúcio Costa e
Oscar Niemeyer, a nova capital do Brasil foi estruturada
a partir de dois grandes eixos que se cruzam: o Eixo
Rodoviário, em torno do qual estão as áreas residenciais,
e o Eixo Monumental, onde se localizam os órgãos
governamentais e culturais. Em uma das extremidades do
Eixo Monumental, encontra-se a Praça dos Três Poderes.
O nome dessa praça faz referência à teoria
(A) da divisão das responsabilidades sobre o país que,
com a Constituição de 1891, definiu que o presidente,
os governadores e os prefeitos exerceriam o poder de
forma compartilhada.
(B) do Estado tripartido, de origem medieval, que definia
as funções que deveriam ser desempenhadas pela
nobreza, pela burguesia e pelos trabalhadores em
benefício da sociedade.
(C) da organização da república, proposta por Platão, em
que o presidente, o povo e os deputados debatem a
respeito do funcionamento da sociedade.
(D) do Estado moderno europeu, segundo a qual o
Senado, a Câmara e a Presidência da República
exercem os poderes conferidos pela população por
meio do voto direto e secreto.
(E) da separação dos poderes, proposta por Montesquieu,
em que o Executivo, o Legislativo e o Judiciário devem
exercer os seus poderes de forma independente e
equilibrada entre si.",Momentos históricos nacionais,Nenhum,3
2018,sem1,Questão 08,"Questão 08 (Lavoisier foi quem descobriu uma maneira de
sintetizar o salitre em grandes quantidades, o que
possibilitou um aumento sensível na produção
e utilização da pólvora. Para se obter o nitrato de
potássio, um tipo de salitre, pode-se reagir cloreto
de potássio com ácido nítrico.
Lavoisier também foi responsável por enunciar a
Lei da Conservação da Massa, também conhecida
como Lei de Lavoisier.
<https://tinyurl.com/ybcuml9u> Acesso em: 15.11.2017. Adaptado.
Em um experimento para obtenção de salitre, foram
anotadas as massas utilizadas, porém o aluno esqueceu de
anotar a massa formada de nitrato de potássio, conforme
a figura.
O aluno não se preocupou com esse fato, pois aplicando a
Lei de Lavoisier é possível encontrar a massa desconhecida,
representada por x na tabela.
Assinale a alternativa que apresenta a massa de salitre, em
gramas, obtida nesse experimento.
(A) 101
(B) 630
(C) 745
(D) 1 010
(E) 1 375",Reações químicas,Nenhum,3
2018,sem1,Questão 07,"Questão 07 Um  fogo de artifício  é composto basicamente
por  pólvora  (mistura de  enxofre, carvão e salitre) e por
um sal de um elemento determinado, por exemplo, sais de
cobre, como CuCl
2
, que irá determinar a cor verde azulada
da luz produzida na explosão
Observe as representações dos elementos enxofre e cobre
presentes em um fogo de artifício: e .
A partir da análise dessas representações, assinale a
alternativa que apresenta, respectivamente, o número de
massa do enxofre e o número de nêutrons do cobre.
(A) 32 e 29
(B) 32 e 35
(C) 16 e 29
(D) 16 e 35
(E) 16 e 64",Estrutura atômica,Nenhum,3
2018,sem1,Questão 09,"Considere a tabela:
País
Consumo
de Carne(1)
(kg/pessoa/ano)
Pegada Hídrica
da Carne (2)
(m3
/tonelada)
EUA 43 14 500
Brasil 32 19 400
México 23 17 500
Reino Unido 18 9 900
Ucrânia 10 12 600
China 5 13 700
Bolívia 12 77 000
Média Mundial 9 15 400
Com base nos dados da tabela, é correto afirmar que
(A) a pegada hídrica da carne aumenta conforme
aumenta o consumo de carne de um país.
(B) a pegada hídrica da carne consumida no Brasil
corresponde a 19,4 litros por quilograma.
(C) a pegada hídrica da carne na Bolívia é igual a cinco
vezes a média mundial desse parâmetro.
(D) a pegada hídrica da carne no México é maior do que
o dobro da pegada hídrica da carne na China.
(E) a pegada hídrica da carne e a quantidade de carne
consumida nos EUA e na Ucrânia são grandezas
proporcionais.",Gráficos e tabelas,Nenhum,4
2018,sem1,Questão 10,"Questão 10 Por ser um consumidor voraz de chocolate, João
estabeleceu que, para não exagerar, sempre comerá
exatamente 1 kg de chocolate a cada 5 dias.
Ao estudar o conceito de pegada hídrica em sua aula de
Ciências, João calculou que, após um ano, a pegada hídrica
do seu consumo de chocolate será de N metros cúbicos de
água, considerando a média mundial.
Assim sendo, o valor de N está mais próximo de
(A) 10.
(B) 100.
(C) 600.
(D) 1 200.
(E) 6 200.",Regra de três,Nenhum,4
2018,sem1,Questão 11,"Questão 11
No lanche da tarde, João comeu um pão com queijo, de
massa total de 200 g. Curioso como sempre, determinou
que, considerando só a produção dos dois ingredientes
desse lanche (o pão e o queijo), o consumo de água foi de
830 litros.
Sabendo que, em média, a pegada hídrica do pão é
de 1,6 L/g e a do queijo é de 5,0 L/g, pode-se concluir
corretamente que, em relação a esse consumo,
(A) a quantidade de pão é igual à quantidade de
 queijo.
(B) a quantidade de pão é o dobro da quantidade de
queijo.
(C) a quantidade de pão é o triplo da quantidade de
queijo.
(D) a quantidade de queijo é o dobro da quantidade de
pão.
(E) a quantidade de queijo é o triplo da quantidade de
pão.",Regra de três,Nenhum,4
2018,sem1,Questão 12,"Questão 12
Um avião, com a finalidade de abastecer uma região que
se encontra isolada, voa em linha reta horizontalmente,
com velocidade constante em relação ao solo, quando
abandona uma caixa com alimentos, conforme a imagem.
<https://tinyurl.com/y8cvpjzm> Acesso em: 15.11.2017. Original colorido.
Desprezando a resistência do ar, a trajetória descrita pela
caixa de alimentos terá a forma de uma
(A) parábola, do ponto de vista de um observador que
estiver no avião.
(B) linha reta vertical, do ponto de vista de um observador
que estiver no avião.
(C) linha reta vertical, do ponto de vista de um observador
que estiver na Terra.
(D) linha reta horizontal, do ponto de vista de um
observador que estiver no avião.
(E) mesma figura para qualquer observador, pois a
trajetória independe do referencial.",Movimento uniforme,Nenhum,5
2018,sem1,Questão 14,"Questão 14
Um aluno deseja calcular a energia envolvida no cozimento
de um certo alimento.
Para isso, verifica que a potência do forno que utilizará é
de 1 000 W.
Ao colocar o alimento no forno e marcar o tempo (∆t)
gasto até o seu cozimento, ele concluiu que 3 minutos
eram o bastante.
Dessa maneira, a energia (E) necessária para cozinhar o
alimento é de
(A) 180 000 J.
(B) 55 000 J.
(C) 18 000 J.
(D) 5 500 J.
(E) 1 800 J.
Lembre-se que:
P =
P = potência (W)
E = energia (J) e
 t = variação de tempo (s)",Energia,Potência,5
2018,sem1,Questão 15,"Questão 15
A Praça Vermelha, em Moscou, é a mais importante
da Rússia. Seu nome não está relacionado ao regime
instaurado após um marcante fato ocorrido no país
em 1917; vem do russo antigo, em que a mesma
palavra usada para se referir à cor vermelha também
significava “bonita”. Nessa praça estão alguns dos
principais cartões-postais do país, como a Catedral
de São Basílio, construída no século XVI, e o Kremlin,
fortaleza construída em 1156 e que hoje abriga o
palácio presidencial russo.
Assinale a alternativa que apresenta corretamente o fato
histórico ocorrido em 1917 e mencionado no texto.
(A) O início do governo do czar Nicolau II.
(B) A criação da Igreja Ortodoxa.
(C) O fim da União Soviética.
(D) A construção do Kremlin.
(E) A Revolução Russa.",Momentos históricos nacionais,Nenhum,5
2018,sem1,Questão 13,"Questão 13
Um professor de Biologia explicou aos seus alunos que
após a mastigação, o alimento é engolido e passa para a
faringe e, depois, para o esôfago. Nesse momento, uma
pequena estrutura de cartilagem que funciona como
uma “válvula” recebe estímulo nervoso para obstruir a
entrada da laringe e impedir que o alimento siga pelo
sistema respiratório. Quando ocorre um descontrole dos
reflexos que fecham a laringe, nós engasgamos, mas um
novo reflexo provoca tosse e ajuda a desobstruir o sistema
respiratório.
O nome da estrutura de cartilagem descrita pelo professor é
(A) epiglote.
(B) cárdia.
(C) piloro.
(D) glote.
(E) ceco.",Características básicas dos seres vivos,Nenhum,5
2018,sem1,Questão 16,"Questão 16 Suponha que você trabalhe para o governo e precise ajudar a decidir sobre a distribuição de verbas de saúde e educação.
Para isso, você deve analisar as pirâmides etárias do Brasil de 1991 e 2010.
Fonte dos dados: Instituto Brasileiro de Geografia e Estatística (IBGE).
Considerando as tendências apontadas pelas pirâmides etárias, as verbas devem priorizar
(A) os programas de controle de natalidade.
(B) os programas de atendimento pré-natal e as gestantes.
(C) a ampliação do número de creches e a educação infantil.
(D) os serviços de saúde para as crianças e os jovens.
(E) a assistência aos idosos e a previdência social.",Gráficos e tabelas,Interpretação de texto,6
2018,sem1,Questão 17,"Questão 17 Leia a tirinha.
QUINO (Joaquín Salvador Lavado). Toda Mafalda. São Paulo: Martins Fontes, 2008. p. 256.
A interpretação do humor da tirinha se dá, em partes, pelo entendimento do funcionamento da crase utilizada no segundo
quadrinho.
Assinale a alternativa em que há a explicação correta para esse caso específico do uso da crase.
(A) O verbo “chegar” estabelece, no segundo quadrinho, regência com a preposição “a”, a qual se aglutina com o artigo
que sucede o verbo.
(B) O uso da crase é opcional, pois a regência nominal do substantivo “primavera” determina o uso do artigo “a”.
(C) Sempre que o verbo “chegar” estiver conjugado na primeira pessoa do singular haverá a crase.
(D) O uso da crase é facultativo, uma vez que sucede uma locução prepositiva.
(E) Antes de pronomes possessivos femininos o uso da crase é obrigatório.
VESTIBULINHO 1o SEM/2018 • Etec 7",Regras de pontuação,Nenhum,6
2018,sem1,Questão 18,"Questão 18 No etilômetro que muda de cor na presença do álcool, ocorre a seguinte reação química:
K Cr O (aq) + 4H SO (aq) + 3CH CH OH (g) Cr (SO ) (aq) + 3CH CHO (g) + 7H O(l) + 4K SO (aq)
2 2 7 2 4 3 2 2 4 3 3 2 2 4
alaranjado verde
É possível identificarmos, na reação, a presença de
(A) uma substância simples nos reagentes e uma simples nos produtos.
(B) três substâncias compostas nos reagentes.
(C) quatro substâncias simples nos produtos.
(D) átomos de sódio na substância verde.
(E) ácido clorídrico nos reagentes.",Reações químicas,Fórmulas químicas,7
2018,sem1,Questão 19,"Questão 19 Um adulto de 75 kg possui, em média, 5 litros de sangue. Esse adulto foi flagrado, no teste do bafômetro, com nível
alcoólico exatamente igual ao limite máximo permitido.
A massa de álcool contida no sangue desse adulto, em mg, é igual a
(A) 0,1.
(B) 0,2.
(C) 0,3.
(D) 0,4.
(E) 0,5.
8 VESTIBULINHO 1o SEM/2018 • Etec",Porcentagem,Nenhum,7
2018,sem1,Questão 20,"Questão 20
 As verminoses são doenças causadas por vermes parasitas
que se instalam no organismo do hospedeiro.
Uma dessas verminoses que afeta milhões de pessoas em
todo o mundo caracteriza-se pelo fato de os vermes, no
estágio de larvas, penetrarem através da pele, geralmente
quando caminhamos descalços em solos contaminados.
Dentro do ser humano, os vermes ficam adultos e se fixam
à mucosa do intestino delgado. Com suas placas dentárias
cortantes, rasgam as paredes intestinais e sugam sangue,
provocando hemorragias, anemia, fraqueza, tonturas,
desânimo e dores musculares no hospedeiro.
A doença parasitária descrita é conhecida como
(A) doença de Chagas.
(B) esquistossomose.
(C) leptospirose.
(D) amarelão.
(E) teníase.",Doenças,Nenhum,8
2018,sem1,Questão 22,"Questão 22
O teste da chama é um procedimento corriqueiro
em laboratórios de Química, tanto em níveis
básicos como avançados. Pode ser utilizado para
uma simples observação colorimétrica ou para a
identificação de um cátion metálico. Consiste em
se inserir uma amostra de determinado composto,
geralmente no estado sólido, na base da chama,
com o auxílio de um fio de platina, observando-se,
assim, a mudança de coloração apresentada pela
chama. A cor deve-se à influência da temperatura
na estrutura atômica do cátion presente na amostra.
<https://tinyurl.com/yb7jxftm> Acesso em: 10.11.2017. Adaptado.
A tabela apresenta a cor esperada para os cátions de
alguns elementos químicos.
ELEMENTO COR DA LUZ EMITIDA
sódio amarela
potássio violeta
cálcio alaranjada
estrôncio vermelha
cobre verde
A professora de laboratório de Ciências apresenta três
amostras de sais: CuSO4
, KNO3
 e NaCl, para os alunos as
identificarem com base nessa tabela.
Assinale a alternativa que relaciona, corretamente, o sal à
respectiva cor no teste da chama.
 Sal Cor da luz emitida
(A) KNO3 violeta
(B) NaCl vermelha
(C) CuSO4 amarela
(D) KNO3 alaranjada
(E) CuSO4 alaranjada",Elementos,Reações químicas,8
2018,sem1,Questão 21,"Para exemplificar uma aplicação do conceito de velocidade
média, um professor de Ciências explica aos seus alunos
como é medida a velocidade de um veículo quando passa
por um radar.
Os radares usam a tecnologia dos sensores magnéticos.
Geralmente são três sensores instalados no asfalto alguns
metros antes do radar. Esse equipamento mede quanto
tempo o veículo demora para ir de um sensor ao outro,
calculando a partir daí, a velocidade média do veículo. 
Considere um veículo trafegando numa pista cuja
velocidade máxima permitida seja de 40 km/h
(aproximadamente 11 m/s) e a distância média entre os
sensores consecutivos seja de 2 metros.
O mínimo intervalo de tempo que o veículo leva para
percorrer a distância entre um sensor e outro consecutivo,
a fim de não ultrapassar o limite de velocidade é,
aproximadamente, de
(A) 0,10 s.
(B) 0,18 s.
(C) 0,20 s.
(D) 0,22 s.
(E) 1,00 s",Velocidade média,Nenhum,8
2018,sem1,Questão 23,"Questão 23 Para estudar as principais características das células, o professor de Ciências solicitou que os alunos examinassem e citassem
as principais estruturas de quatro tipos de células diferentes observadas em desenhos esquemáticos: uma bactéria, um fungo,
uma célula de um pedaço de folha retirado de uma roseira e uma célula de um pedaço de músculo retirado de um mamífero.
Entre as estruturas citadas pelos alunos destacaram-se: mitocôndrias, cloroplastos, parede celular e membrana nuclear.
Considerando os quatro tipos de células observadas é correto afirmar que
(A) a célula vegetal possui apenas a membrana nuclear e os cloroplastos das estruturas citadas.
(B) a célula animal possui apenas os cloroplastos e as mitocôndrias das estruturas citadas.
(C) a bactéria e a célula vegetal possuem todas as estruturas citadas.
(D) o fungo e a célula animal não possuem as estruturas citadas.
(E) a célula vegetal possui todas as estruturas citadas.",Características básicas dos seres vivos,Nenhum,9
2018,sem1,Questão 24,"Questão 24 Uma equipe internacional de cientistas usou um fluxo de partículas para fazer uma espécie de radiografia da Grande
Pirâmide de Quéops, em Gizé, no Egito. Isso permitiu descobrir, em 2017, um grande espaço vazio, que ficou escondido
atrás das grossas paredes da edificação.
Construída por ordem do faraó Khufu, que reinou entre 2509 e 2483 a.C., a pirâmide tem 139 metros de altura e,
durante mais de três milênios, foi a construção mais alta do planeta. Mesmo hoje, não há certeza sobre a forma como
foi construída, nem se sabe se ainda há câmaras a serem descobertas em seu interior.
É possível entrar na pirâmide através de um túnel que foi escavado ao nível do solo no ano de 820, que permite o
acesso às três câmaras até hoje conhecidas: a subterrânea, a da rainha e a do rei.
<https://tinyurl.com/yd3qv7pu> Acesso em: 14.11.2017. Adaptado.
Com base nas informações do texto, é correto afirmar que
(A) a Grande Pirâmide de Quéops, construída há dois mil anos, continua a ser a construção mais alta do planeta.
(B) a pirâmide de Gizé, uma das maravilhas do mundo moderno, foi construída em honra dos deuses egípcios Zeus e
Hórus.
(C) a pirâmide de Quéops, construída há mais de quatro milênios por ordem de Khufu, teve uma câmara interna descoberta
recentemente.
(D) a escavação de um túnel no ano de 820, por ordem de Gizé, permitiu o acesso da população aos túmulos no interior
da pirâmide de Quéops.
(E) as pirâmides do Egito, palácios residenciais dos faraós, foram equipadas com câmaras secretas construídas para
garantir a segurança desses imperadores.",Interpretação de texto,Grécia antiga,9
2018,sem1,Questão 25,"Questão 25 A caatinga, palavra originária do tupi-guarani e que significa “mata branca”, é o único sistema ambiental exclusivamente
brasileiro. Sua extensão territorial corresponde a cerca de 10% do território nacional e está presente no norte de Minas
Gerais e no sertão nordestino.
Em relação a esse sistema ambiental, pode-se afirmar que
(A) é um bioma de clima quente, com estações de seca e chuvas bem definidas, cuja vegetação apresenta folhas coriáceas,
caules retorcidos, com cascas grossas e resistentes ao fogo.
(B) é a maior planície de inundação contínua do planeta e apresenta a maior diversidade de aves do mundo, entre as
quais se destacam as garças, os colhereiros, os tucanos, os biguás, os patos e os marrecos.
(C) é um bioma com várias espécies de palmeiras, árvores, trepadeiras, mata-paus, samambaias e animais, como gambás,
pacas, tatus, tamanduás, capivaras, gatos-do-mato, gaviões e muitas espécies de beija-flores.
(D) possui clima semiárido, solo raso e pedregoso, vegetação com adaptações para sobreviver em condições de aridez,
como por exemplo, folhas modificadas em espinhos, muitas espécies de mamíferos, lagartos e serpentes.
(E) possui clima subtropical, vegetação formada principalmente por gramíneas de pequeno porte e com poucos arbustos
espalhados; possui animais, como o tatu, diversos roedores, raposas, guaxinins, marrecos e quero-quero.
10 VESTIBULINHO 1o SEM/2018 • Etec",Biomas,Nenhum,9
2018,sem1,Questão 26,"Questão 26 Leia o texto.
Um dos problemas urbanos mais dramáticos na vida de muitas pessoas que habitam nossas cidades é a ocorrência
de enchentes, que provocam estragos envolvendo perdas de bens materiais e, em alguns casos, até de vidas. (...)
As causas das enchentes estão relacionadas a fatores naturais e também a ações humanas, ou até mesmo a combinação
dos dois. (...) As causas mais comuns das enchentes em grandes cidades como São Paulo estão relacionadas aos efeitos
nocivos de algumas práticas humanas sobre o meio ambiente.
<http://tinyurl.com/y7pe3b38> Acesso em: 14.07.2017. Adaptado.
Entre as ações que ajudam a reduzir o risco de enchentes e os problemas decorrentes estão a
(A) recuperação da cobertura de vegetação na foz dos rios e ampliação da altura dos alicerces das casas construídas em
suas margens.
(B) retificação do leito dos rios e córregos e a construção de muros que protejam vias de circulação e habitações em suas
margens.
(C) retificação e retirada constante dos sedimentos do leito dos rios e córregos e depósito desses sedimentos em suas
margens.
(D) recuperação das cabeceiras dos rios, ampliação das áreas verdes, permeabilização do solo e deposição adequada
do lixo.
(E) canalização dos cursos dos rios e dos córregos e da impermeabilização de suas margens.",Meio ambiente,Nenhum,10
2018,sem1,Questão 27,"Questão 27 Leia os textos e considere o infográfico.
• Mata ciliar é a formação vegetal às
margens dos rios, córregos, lagos,
represas e nascentes. É considerada
pelo Código Florestal Federal como
Área de Preservação Permanente (APP),
c om diversas funções ambientais.
De acordo com o artigo 2o desse
Código, a largura da faixa de mata
ciliar a ser preservada está
relacionada com a largura dos
rios, córregos, lagos, represas e
nascentes, conforme mostra a figura.
• Fora do estuário, o trecho mais largo do rio Amazonas, não interrompido por ilhas, fica a cerca de 20 km da foz do rio
Xingu, onde tem 13 km de largura.
<https://tinyurl.com/y9z2e43l> Acesso em: 26.11.2017.
De acordo com o Código Florestal Federal, para o trecho de um rio cuja largura é 4% da largura do rio Amazonas
(citada no texto), a largura da faixa de mata ciliar deve ser, em metros, igual a
(A) 500.
(B) 200.
(C) 100.
(D) 50.
(E) 30.
VESTIBULINHO 1o SEM/2018 • Etec 11",Regra de três,Porcentagem,10
2018,sem1,Questão 28,"Questão 28 Um grupo de estudantes conversando sobre a prevenção e o tratamento de diferentes tipos de doenças causadas por
vírus e bactérias elaboraram os seguintes enunciados:
I Os vírus são acelulares.
II Os vírus e as bactérias não possuem metabolismo próprio.
III As doenças causadas por vírus e bactérias não têm cura.
IV As bactérias são seres parasitas obrigatórios.
V As bactérias são microscópicas.
Assinale a alternativa que apresenta os enunciados corretos.
(A) I, II, III e IV apenas.
(B) II, III, IV e V apenas.
(C) I, III e V apenas.
(D) II e IV apenas.
(E) I e V apenas.",Doenças,Características básicas dos seres vivos,11
2018,sem1,Questão 29,"Questão 29 Carla está organizando um encontro com velhos amigos de turma dos tempos de faculdade, com a intenção de comemorar
10 anos de formados.
Por uma rede social, Carla manda uma mensagem:
Olá pessoal, já está tudo preparado!
Reservei um hotel de frente para o rio, contratei um bom churrasqueiro que vai fornecer tudo.
Não precisaremos nos preocupar com nada, só festejar e relembrar os velhos tempos.
Pessoal, não se esqueçam de trazer roupas leves e guarda-chuvas porque aqui é quente e
úmido o ano todo. Marcos, você que está acostumado com o frio dos pampas, vai estranhar
um pouco, mas a beleza da floresta e o pôr do sol refletindo nas águas desse riozão vão te
recompensar.
Abraços a todos e até sexta.
Carla
Considerando o mapa e a partir da descrição da mensagem de Carla, assinale a alternativa que apresenta, correta e
respectivamente, o número e o clima do local do encontro e do local em que Marcos mora.
Local em que
Local do encontro
Marcos mora
(A) 6 clima tropical de altitude 5 clima subtropical
(B) 2 clima tropical continental 1 clima equatorial
(C) 4 clima tropical oceânico 3 clima semiárido
(D) 1 clima equatorial 5 clima subtropical
(E) 3 clima semiárido 1 clima equatorial
<http://tinyurl.com/yae5jzdo> Acesso em: 13.11.2017. Original colorido.
12 VESTIBULINHO 1o SEM/2018 • Etec",Interpretação de texto,Clima,11
2018,sem1,Questão 30,"Questão 30 Em uma aula prática de Biologia, o professor solicitou que
os alunos identificassem as principais características dos
táxons representados pelos exemplares de uma coleção
de artrópodes que incluía aranhas, abelhas, carrapatos,
escorpiões, formigas, moscas, camarões, siris e lacraias.
Considerando os animais citados no texto, os alunos
concluíram corretamente que
(A) apenas as aranhas, os escorpiões e os carrapatos
possuem o corpo revestido por exoesqueleto.
(B) todos têm os membros locomotores articulados e o
corpo segmentado.
(C) apenas as abelhas, as formigas e as moscas possuem
antenas.
(D) apenas as abelhas possuem asas.
(E) todos são venenosos e podem voar. ",Características básicas dos seres vivos,Reinos,12
2018,sem1,Questão 32,"Questão 32
Observe a imagem.
A imagem está relacionada a um sistema agrícola de
subsistência típico de regiões densamente povoadas do
globo terrestre.
Assinale a alternativa correta que apresenta esse tipo
de sistema agrícola, a técnica utilizada e a região de
ocorrência no globo.
Sistema
agrícola
Técnica
agrícola
Região
do mundo
(A) jardinagem terraceamento Sudeste
da Ásia
(B) plantations rotação de
culturas
Norte
da África
(C) itinerante rotação de
terras
Norte
da Rússia
(D) comercial mecanização Europa
Ocidental
(E) kibutz irrigação Oriente
Médio",Sistemas de medida,Nenhum,12
2018,sem1,Questão 31,"Localizado no sudeste do Piauí, o Parque Nacional da Serra
da Capivara é um parque arqueológico inscrito pela Unesco
na lista do Patrimônio Mundial. Um conjunto de chapadas
e vales abrigam sítios arqueológicos com pinturas e
gravuras rupestres, além de outros vestígios do cotidiano
pré-histórico. Esses registros, inscritos nos paredões
rochosos, representam uma grande variedade de temas
e foram feitos por populações que habitaram a região há
dezenas de milhares de anos. Seguramente, são os mais
antigos registros humanos no continente americano.
<https://tinyurl.com/ydhptjlb> Acesso em: 13.11.2017. Adaptado. Original colorido.
De acordo com o texto e a imagem, assinale a alternativa
correta.
(A) Os vestígios de mais de dez mil anos encontrados no
Piauí foram excluídos da lista do Patrimônio Mundial
por terem sido ameaçados pelas queimadas que
destruíram as chapadas.
(B) As chapadas e os vales do Piauí reúnem os mais
antigos registros da presença humana no hemisfério
sul, superando os registros africanos, que se
acreditava serem os mais remotos.
(C) O Parque Nacional da Serra da Capivara é um sítio
arqueológico que reúne registros da fauna brasileira
feitos pelos europeus à época da chegada dos
portugueses.
(D) As pinturas de animais, de cenas de caça e do
cotidiano encontradas na Serra da Capivara estão
entre os mais antigos registros feitos pelo homem nas
Américas.
(E) As pinturas rupestres são importantes registros do
cotidiano dos povos indígenas que habitavam a
região amazônica há cerca de dois mil anos.",Interpretação de texto,Sociedades indígenas no Brasil,12
2018,sem1,Questão 33,"Questão 33 Leia a letra da música “Segue o seco” de Carlinhos Brown.
A boiada seca
Na enxurrada seca
A trovoada seca
Na enxada seca
Segue o seco sem sacar que o caminho é seco
sem sacar que o espinho é seco
sem sacar que o seco é o Ser Sol
Sem sacar que algum espinho seco secará
E a água que sacar será um tiro seco
E secará o seu destino seca
Ô chuva vem me dizer
Se posso ir lá em cima prá derramar você
Ó chuva preste atenção
Se o povo lá de cima vive na solidão
Se acabar não acostumando
Se acabar parado calado
Se acabar baixinho chorando
Se acabar meio abandonado
Pode ser lágrimas de São Pedro
Ou talvez um grande amor chorando
Pode ser o desabotoado céu
Pode ser coco derramado
<https://tinyurl.com/yanhydsb> Acesso em: 02.12.2017.
Um dos importantes aspectos para a interpretação dessa música é a sonoridade de seus versos. A repetição do fonema
consonantal /s/ – como em “sacar” e “ser” – colabora para a construção e representação do cenário construído pela canção:
a seca.
Selecione a alternativa em que a repetição intencional de fonema consonantal também acontece.
(A) [...] sou um mulato nato
no sentido lato
Mulato democrático do litoral [...] Veloso, Caetano.
(B) Eu vi quando você me viu
Seus olhos pousaram nos meus
Num arrepio sutil [...] Lins, Claudio
(C) [...] Vozes veladas, veludosas vozes,
Volúpias dos violões, vozes veladas [...] Cruz e Sousa
(D) [...] O meu pai era paulista/Meu avô, pernambucano
O meu bisavô, mineiro/Meu tataravô, baiano. Buarque, Chico
(E) Trabalha e teima, e lima, e sofre, e sua! Bilac, Olavo
14 VESTIBULINHO 1o SEM/2018 • Etec",Figuras de linguagem,Interpretação de texto,13
2018,sem1,Questão 34,"Questão 34 Analise o mapa que apresenta a distribuição de uma das formações vegetais do planeta
<http://tinyurl.com/y7pgjd6h> Acesso em: 15.1./2017. Adaptado.
Assinale a alternativa que contenha o nome, a localização e um dos problemas que ameaçam essa formação vegetal
Nome Localização Problema
(A) Floresta de Coníferas latitudes médias exploração da madeira para a indústria de papel
(B) Savanas baixas latitudes expansão da produção mecanizada de grãos
(C) Floresta Temperada altas latitudes desmatamento para expansão urbana
(D) Pradarias altas latitudes expansão da agricultura mecanizada de cereais
(E) Floresta Equatorial baixa latitude desmatamento para expansão da agropecuária",Biomas,Nenhum,14
2018,sem1,Questão 35,"Questão 35 Uma importante adaptação ao frio é a capacidade de hibernação de alguns mamíferos, como certos morcegos e marmotas,
em épocas de muito frio. A hibernação é semelhante a um sono profundo, com a manutenção da taxa metabólica em níveis
muito baixos. Com esse artifício, esses animais conseguem suportar as condições adversas do inverno, principalmente a
escassez de comida, uma vez que o metabolismo reduzido diminui o consumo de energia e eles podem viver à custa da
gordura armazenada no corpo.
É correto afirmar que durante a hibernação, a taxa metabólica atinge níveis muito baixos porque
(A) a frequência cardíaca e a frequência respiratória ficam reduzidas, sendo que a temperatura do corpo desses animais
se mantém semelhante à do período sem hibernação.
(B) a frequência cardíaca e a frequência respiratória ficam aceleradas, sendo que a temperatura do corpo desses animais
se mantém semelhante à do período sem hibernação.
(C) a frequência cardíaca e a frequência respiratória ficam reduzidas, sendo que a temperatura do corpo desses animais
diminui muito, abaixo da temperatura do período sem hibernação.
(D) a frequência cardíaca fica acelerada, a frequência respiratória fica reduzida e a temperatura do corpo desses animais
diminui muito, abaixo da temperatura do período sem hibernação.
(E) a frequência cardíaca fica reduzida, a frequência respiratória fica acelerada e a temperatura do corpo desses animais
aumenta muito, acima da temperatura do período sem hibernação.
VESTIBULINHO 1o SEM/2018 • Etec 15",Características básicas dos seres vivos,Nenhum,14
2018,sem1,Questão 36,"Questão 36 Admita que, a cada metro quadrado da superfície desse reservatório, 3 litros de água evaporem por dia.
Em um dia em que a variação da quantidade de água dependeu apenas da evaporação, o reservatório perdeu
N litros de água. O valor de N é
(A) 360. (B) 480. (C) 540. (D) 630. (E) 720.",Regra de três,Nenhum,15
2018,sem1,Questão 37,"Questão 37 Se, por uma questão de segurança, o reservatório precisa ser cercado, então o comprimento dessa cerca será, em metros, de
(A) 60. (B) 59. (C) 58. (D) 57. (E) 56.",Área e perímetro,Nenhum,15
